Пол, возраст;ЗП;Ищет работу на должность:;Город, переезд, командировки;Занятость;График;Опыт работы;Последнее/нынешнее место работы;Последняя/нынешняя должность;Образование и ВУЗ;Обновление резюме;Авто
Мужчина ,  39 лет , родился 27 ноября 1979;29000 руб.;Системный администратор;Советск (Калининградская область) , не готов к переезду , не готов к командировкам;частичная занятость, проектная работа, полная занятость;гибкий график, полный день, сменный график, вахтовый метод, удаленная работа;"Опыт работы 16 лет 10 месяцев  Август 2010 — по настоящее время 8 лет 10 месяцев МАОУ ""СОШ № 1 г.Немана"" Системный администратор Обслуживание ПК,установка ПО, ремонт, периферийной техники, Интернет локальная сеть. Ведение Электронного журнала, сайта организации.  Август 2002 — Август  2010 8 лет 1 месяц ТС ""ВЕСТЕР-ИНФО"" Старший продавец, директор отдела Продажи компьютерной техники";"МАОУ ""СОШ № 1 г.Немана""";Системный администратор;Неоконченное высшее образование 2000  Балтийская государственная академия рыбопромыслового флота, Калининград судоводительский, Организация и безопасность движения;16.04.2019 15:59;Имеется собственный автомобиль
Мужчина ,  60 лет , родился 20 марта 1959;40000 руб.;Технический писатель;Королев , не готов к переезду , готов к редким командировкам;частичная занятость, проектная работа, полная занятость;гибкий график, полный день, сменный график, удаленная работа;Опыт работы 19 лет 5 месяцев  Январь 2000 — по настоящее время 19 лет 5 месяцев Временный трудовой коллектив Москва Информационные технологии, системная интеграция, интернет ... Разработка программного обеспечения Системная интеграция, автоматизации технологических и бизнес-процессов предприятия, ИТ-консалтинг Менеджер проекта, Аналитик, Технический писатель Весь цикл ПО, кроме программирования.;Временный трудовой коллектив;Менеджер проекта, Аналитик, Технический писатель;Высшее образование 1981  Военно-космическая академия им. А.Ф. Можайского, Санкт-Петербург АСУ, АСУ;12.04.2019 08:42;Не указано
Женщина ,  36 лет , родилась 12 августа 1982;20000 руб.;Оператор;Тверь , не готова к переезду , не готова к командировкам;полная занятость;полный день;Опыт работы 10 лет 3 месяца  Октябрь 2004 — Декабрь  2014 10 лет 3 месяца ПАО Сбербанк Кассир-операционист Работа с денежной наличностью, обслуживание клиентов, операции с иностранной валютой, проведение инкассации, составление и обработка первичных документов.;ПАО Сбербанк;Кассир-операционист;Среднее специальное образование 2002 Профессиональный лицей 39 г. Твери Экономический, Банковское дело;16.04.2019 08:35;Не указано
Мужчина ,  38 лет , родился 25 июня 1980;100000 руб.;"Веб-разработчик (HTML / CSS / JS / PHP / базы данных; фреймворки, дизайн, интерфейсы, CMS)";Саратов , не готов к переезду , готов к редким командировкам;частичная занятость, проектная работа, полная занятость;гибкий график, удаленная работа;"Опыт работы 18 лет 9 месяцев  Август 2017 — Апрель  2019 1 год 9 месяцев OpenSoft Саратов , www.opensoftdev.ru Информационные технологии, системная интеграция, интернет ... Системная интеграция, автоматизации технологических и бизнес-процессов предприятия, ИТ-консалтинг Инженер-программист Разработка и поддержка сайтов на корпоративной CMS и на WordPress; разработка корпоративной CMS; дизайн, вёрстка, улучшение интерфейсов существующих сайтов, основанных на разных фреймворках и CMS; консультации и техническая поддержка.  Октябрь 2006 — Июнь  2018 11 лет 9 месяцев СГУ им. Н.Г. Чернышевского Саратовская область , www.sgu.ru/ Преподаватель, научный руководитель Преподаватель (растровая компьютерная графика, разработка интерфейсов, PHP, JavaScript, фотография и др. дисциплины)  Июнь 2013 — Сентябрь  2017 4 года 4 месяца MIF Technology miftechnology.com/ Информационные технологии, системная интеграция, интернет ... Разработка программного обеспечения Системная интеграция, автоматизации технологических и бизнес-процессов предприятия, ИТ-консалтинг Веб-разработчик Веб-разработка широкого профиля: проектирование, дизайн, вёрстка, многоязычные системы, базы данных, программирование, тестирование, консультации, техническая поддержка.  Апрель 2012 — Август  2012 5 месяцев Веб-Синергия Саратов Информационные технологии, системная интеграция, интернет ... Разработка программного обеспечения Веб-разработчик Полноценная разработка веб-приложения, посвящённого поиску и заказу книг в различных электронных библиотеках.  Сентябрь 2010 — Март  2012 1 год 7 месяцев IRESSOURCES Франция , iressources.com Веб-разработчик, верстальщик Вёрстка веб-страниц (кроссбраузерная, адаптивная, кроссплатформенная) для сложных макетов, дизайн, разработка социальных сетей и фрагментов сайтов (мультиязычных и на французском / английском языках).  Апрель 2008 — Август  2010 2 года 5 месяцев ЛАР, ООО Россия , www.lar.ru Верстальщик Вёрстка веб-страниц (кроссбраузерная, кроссскринная, кроссплатформенная) для сложных макетов, дизайн, разработка веб-приложений на PHP / MySQL.  Август 2005 — Март  2008 2 года 8 месяцев ГУ РОПЕ «Неделя области» Саратов , www.nedelia.ru Верстальщик, веб-дизайнер, выпускающий редактор Полиграфическая вёрстка, создание и поддержка сайта газеты  Сентябрь 2002 — Июль  2005 2 года 11 месяцев ООО «Медиа-Саратов» Саратов , www.bogatej.ru/ Верстальщик, веб-дизайнер, корректор Полиграфическая вёрстка, создание и поддержка сайта газеты  Январь 2002 — Май  2004 2 года 5 месяцев Школа №105 Саратов Образовательные учреждения ... Школа, детский сад Учитель информатики Собственный курс, включающий основы веб-разработки.";OpenSoft;Инженер-программист;Высшее образование 2002  Саратовский государственный университет им. Н.Г. Чернышевского, Саратов Филологический, филология (лингвистика), Красный диплом, специализация: филолог (лингвист), доп. специализация: информационные технологии в филологии;08.04.2019 14:23;Не указано
Женщина ,  26 лет , родилась 3 марта 1993;140000 руб.;Региональный менеджер по продажам;Москва , не готова к переезду , готова к командировкам;полная занятость;полный день;Опыт работы 5 лет 7 месяцев  Региональный менеджер по продажам 140 000 руб. Информационные технологии, интернет, телеком Консалтинг, Аутсорсинг Продажи Маркетинг Занятость: полная занятость График работы: полный день Опыт работы 5 лет 7 месяцев Август 201;Мармелад;Менеджер по продажам;Высшее образование 2015 Кгу Психологии и педагогики, Педагогика и психология (педагог-психолог) 2015 Российский государственный социальный университет, Москва Журналистика, Журналистика (бакалавр журналистики);22.04.2019 10:32;Не указано
Мужчина ,  29 лет , родился 5 октября 1989;25000 руб.;Технический специалист;Старый Оскол , не готов к переезду , не готов к командировкам;полная занятость;полный день, сменный график;Опыт работы 9 лет 9 месяцев  Технический специалист 25 000 руб. Информационные технологии, интернет, телеком Компьютерная безопасность Поддержка, Helpdesk Администратор баз данных Занятость: полная занятость График работы: полный день, сменный график Опыт работы 9 лет 9 месяцев Август 2009 — по настоящее время 9 лет 9 месяцев Комбинат хлебопродуктов Старооскольский www.khps.ru Розничная торговля ... Розничная сеть (продуктовая) Продукты питания Макаронные изделия (производство) Чай, кофе (продвижение, оптовая торговля) Слесарь КИПиА Ремонт наладка обслуживание средств КИП и автоматики Февраль 2013 — Декабрь  2013 11 месяцев Комбинат хлебопродуктов Старооскольский www.khps.ru Розничная торговля ... Розничная сеть (продуктовая) Продукты питания Макаронные изделия (производство) Чай, кофе (продвижение, оптовая торговля) Слесарь КИПиА Ремонт и обслуживание средств автоматики Ключевые навыки Теперь резюме открыто всему интернету — изменить можно в настройках видимости. Пользователь ПК Грамотная речь Водительское удостоверение категории B Работа с оргтехникой Коммуникабельность Возникли неполадки. Попробуйте еще раз. Опыт вождения Имеется собственный автомобиль Права категории B Неоконченное высшее образование 2013 Кликнув на название учебного заведения вы сможете найти кандидатов из этого вуза. Воронежский государственный университет инженерных технологий, Воронеж Автоматизация технологических процессов , Автоматизация технологических процессов и производств (по отраслям) 2009 Белгородский Политехнический техникум Автоматизация технологических процессов , Техник АСУ ТП 2008 ПЛ 22 КИПиА, Наладчик КИПиА Знание языков Русский — Родной Гражданство, время в пути до работы Гражданство: Россия Разрешение на работу: Россия Желательное время в пути до работы: Не имеет значения  Опыт работы 9 лет 9 месяцев Август 2009 — по настоящее время 9 лет 9 месяцев Комбинат хлебопродуктов Старооскольский www.khps.ru Розничная торговля ... Розничная сеть (продуктовая) Продукты питания Макаронные изделия (производство) Чай, кофе (продвижение, оптовая торговля) Слесарь КИПиА Ремонт наладка обслуживание средств КИП и автоматики Февраль 2013 — Декабрь  2013 11 месяцев Комбинат хлебопродуктов Старооскольский www.khps.ru Розничная торговля ... Розничная сеть (продуктовая) Продукты питания Макаронные изделия (производство) Чай, кофе (продвижение, оптовая торговля) Слесарь КИПиА Ремонт и обслуживание средств автоматики  Август 2009 — по настоящее время 9 лет 9 месяцев Комбинат хлебопродуктов Старооскольский www.khps.ru Розничная торговля ... Розничная сеть (продуктовая) Продукты питания Макаронные изделия (производство) Чай, кофе (продвижение, оптовая торговля) Слесарь КИПиА Ремонт наладка обслуживание средств КИП и автоматики  Февраль 2013 — Декабрь  2013 11 месяцев Комбинат хлебопродуктов Старооскольский www.khps.ru Розничная торговля ... Розничная сеть (продуктовая) Продукты питания Макаронные изделия (производство) Чай, кофе (продвижение, оптовая торговля) Слесарь КИПиА Ремонт и обслуживание средств автоматики;Комбинат хлебопродуктов Старооскольский;Слесарь КИПиА;Неоконченное высшее образование 2013  Воронежский государственный университет инженерных технологий, Воронеж Автоматизация технологических процессов , Автоматизация технологических процессов и производств (по отраслям) 2009 Белгородский Политехнический техникум Автоматизация технологических процессов , Техник АСУ ТП 2008 ПЛ 22 КИПиА, Наладчик КИПиА;22.04.2019 15:59;Имеется собственный автомобиль
Мужчина ,  46 лет , родился 19 сентября 1972;250000 руб.;Руководитель ИТ-проектов;Москва , не готов к переезду , готов к редким командировкам;полная занятость;полный день;"Опыт работы 22 года 9 месяцев  Руководитель ИТ-проектов 250 000 руб. Информационные технологии, интернет, телеком Управление проектами Занятость: полная занятость График работы: полный день Опыт работы 22 года 9 месяцев Июнь 2015 — по настоящее время 3 года 11 месяцев СИБИНТЕК, ООО ИК Москва , sibintek.ru Информационные технологии, системная интеграция, интернет ... Разработка программного обеспечения Системная интеграция, автоматизации технологических и бизнес-процессов предприятия, ИТ-консалтинг Менеджер (Руководитель ИТ-проектов) Управление ИТ-проектами в ПАО «НК «РОСНЕФТЬ» и Обществах Группы Компании на всех этапах их реализации, в том числе, отвечаю за планирование сроков и бюджета проекта, содержание работ, а также организацию и контроль выполнения поставленных проектной команде задач, включая контроль над работами субподрядных организаций. Осуществляю планирование и обеспечение коммуникаций между заинтересованными сторонами проекта на всём протяжении его жизненного цикла. Выполняю подготовку документации по управлению проектами и при закрытии этапов работ по Договору. Имею опыт создания, внедрения и развития: информационных систем бизнес-блока РиД (Разведка и Добыча); систем в области информационной безопасности и ИТ-инфраструктуры; ИР КИС на базе SAP R/3. Принимал участие в организации новых услуг в области информационных технологий в ПАО «НК «РОСНЕФТЬ». На сегодняшний день успешно завершил 14 ИТ-проектов (из них 4 крупных), включающих как внедрение новых и интеграцию существующих информационных систем между собой, так и тиражирование разработанного функционала в Обществах Группы ПАО «НК «РОСНЕФТЬ». За реализацию проектов имею благодарственные письма. Примечание: в связи с тем, что ООО ИК «СИБИНТЕК» является внутренним ИТ-интегратором ПАО «НК «РОСНЕФТЬ», данное резюме не содержит стоимостных и количественных параметров реализованных проектов во исполнение требований соблюдения конфиденциальности. Май 2013 — Март  2015 1 год 11 месяцев МКУ «МФЦ» Мегион , mfchmao.ru Государственные организации ... Государственные организации Заместитель директора Руководил работой по созданию, внедрению и развитию информационно-технической базы учреждения, включающую в себя: информационные системы, ИТ-инфраструктуру, связь, информационную безопасность, в том числе, обеспечение безопасности обработки персональных данных. Возглавлял административно-хозяйственную деятельность учреждения. Руководил работой Контрактной службы. Июнь 1996 — Май  2013 17 лет Отечественные предприятия и банковская сфера. Информационные технологии, системная интеграция, интернет ... Системная интеграция, автоматизации технологических и бизнес-процессов предприятия, ИТ-консалтинг Руководитель ИТ-отдела Осуществлял трудовую деятельность, в том числе на руководящих должностях, по своему профильному направлению - Информационные технологии (ИТ) на предприятиях оборонно-промышленного комплекса, нефтедобывающих компаниях и банковской сфере. Ключевые навыки Теперь резюме открыто всему интернету — изменить можно в настройках видимости. Управление проектами Управленческие навыки Информационные технологии Руководство коллективом Заключение договоров Ведение переговоров Проведение презентаций Стратегическое мышление Планирование Возникли неполадки. Попробуйте еще раз. Опыт вождения Права категории A, B, C Обо мне - Имею опыт управления проектами. - Имею опыт руководящей работы более 10 лет. Умею организовать свою работу и работу подчинённых. - Имею опыт внедрения информационных технологий на предприятиях, в банковской и государственной сфере. - Имею опыт ведения деловых переговоров, подготовки и проведения презентаций. - Имею опыт подготовки и осуществления закупок товаров, работ и услуг. - Умею добиваться поставленных перед собой целей. - Умею выдвигать инновационные идеи. В качестве одного из примеров: за время работы в структуре ОАО «Славнефть-Мегионнефтегаз» мной было предложено несколько инноваций по автоматизации производства, часть из которых признаны рационализаторскими, внедрены на предприятии и засвидетельствованы удостоверениями. - Умею выступать перед большой аудиторией и доступно излагать материал. - Имею 4-х летний опыт преподавательской деятельности. Будучи молодым специалистом на ОАО «Вятско-Полянский машиностроительный завод ""МОЛОТ""» вышел с инициативой к высшему руководству и получил одобрение на организацию и проведение курсов операторов ПЭВМ на базе предприятия в соответствии с предложенным учебным планом. Всего за четыре года мной было обучено по приблизительным подсчётам 1300 человек. - Считаю себя хорошим руководителем и специалистом, который может быть полезным и востребованным для организации (предприятия). Обладаю для этого всеми необходимыми качествами: профессионализмом, стремлением к достижению поставленных целей, лояльностью и соблюдением интересов организации, надежностью, терпением. Ответственно отношусь к служебным обязанностям, всегда приду на помощь коллегам и навстречу руководителю. Готов вложить свои усилия в организацию, которая ценит своих сотрудников и занимается их развитием. - Способен реально оценивать обстоятельства, адаптироваться к ним, не меняя при этом принципиальных позиций. - Объективен по отношению к себе и другим. - Не курю. - Имею водительское удостоверение с открытыми категориями ""А"", ""В"", ""С"". - В свободное время предпочитаю заниматься спортом. Высшее образование 2008 ФГОУ ВПО «Уральская академия государственной службы» (сейчас РАНХиГС при Президенте РФ) Факультет экономики и менеджмента, Менеджмент организации (диплом с отличием) 1996 Казанский государственный технический университет им. А.Н. Туполева (ранее КАИ, сейчас КНИТУ-КАИ) Факультет технической кибернетики и информатики, Вычислительные машины, комплексы, системы и сети (дневное отделение) Знание языков Русский — Родной Английский — A1 — Начальный Повышение квалификации, курсы 2017 «Управление проектами на основе стандарта PMI PMBOK Guide 5th Edition» Академия АйТи, Управление проектами 2016 Внутреннее обучение проектной деятельности ПАО «НК «РОСНЕФТЬ», ООО ИК «СИБИНТЕК», Управление проектами 2015 Обучение в НИУ «Высшая школа экономики» г. Москва по программе повышения квалификации государственных гражданских служащих. Обучение в АНО «Учебный центр Сибирского Центра Госзаказа». Тренинги: «Менеджмент: тактическое управление», «Уверенное профессиональное поведение», «Нематериальная мотивация персонала», «Делегирование полномочий и постановка задач», обучение в «Институт бизнеса и кадровых технологий» г. Москва по программе «Личная эффективность руководителя». Дополнительное образование и тренинги Гражданство, время в пути до работы Гражданство: Россия Разрешение на работу: Россия Желательное время в пути до работы: Не более часа  Опыт работы 22 года 9 месяцев Июнь 2015 — по настоящее время 3 года 11 месяцев СИБИНТЕК, ООО ИК Москва , sibintek.ru Информационные технологии, системная интеграция, интернет ... Разработка программного обеспечения Системная интеграция, автоматизации технологических и бизнес-процессов предприятия, ИТ-консалтинг Менеджер (Руководитель ИТ-проектов) Управление ИТ-проектами в ПАО «НК «РОСНЕФТЬ» и Обществах Группы Компании на всех этапах их реализации, в том числе, отвечаю за планирование сроков и бюджета проекта, содержание работ, а также организацию и контроль выполнения поставленных проектной команде задач, включая контроль над работами субподрядных организаций. Осуществляю планирование и обеспечение коммуникаций между заинтересованными сторонами проекта на всём протяжении его жизненного цикла. Выполняю подготовку документации по управлению проектами и при закрытии этапов работ по Договору. Имею опыт создания, внедрения и развития: информационных систем бизнес-блока РиД (Разведка и Добыча); систем в области информационной безопасности и ИТ-инфраструктуры; ИР КИС на базе SAP R/3. Принимал участие в организации новых услуг в области информационных технологий в ПАО «НК «РОСНЕФТЬ». На сегодняшний день успешно завершил 14 ИТ-проектов (из них 4 крупных), включающих как внедрение новых и интеграцию существующих информационных систем между собой, так и тиражирование разработанного функционала в Обществах Группы ПАО «НК «РОСНЕФТЬ». За реализацию проектов имею благодарственные письма. Примечание: в связи с тем, что ООО ИК «СИБИНТЕК» является внутренним ИТ-интегратором ПАО «НК «РОСНЕФТЬ», данное резюме не содержит стоимостных и количественных параметров реализованных проектов во исполнение требований соблюдения конфиденциальности. Май 2013 — Март  2015 1 год 11 месяцев МКУ «МФЦ» Мегион , mfchmao.ru Государственные организации ... Государственные организации Заместитель директора Руководил работой по созданию, внедрению и развитию информационно-технической базы учреждения, включающую в себя: информационные системы, ИТ-инфраструктуру, связь, информационную безопасность, в том числе, обеспечение безопасности обработки персональных данных. Возглавлял административно-хозяйственную деятельность учреждения. Руководил работой Контрактной службы. Июнь 1996 — Май  2013 17 лет Отечественные предприятия и банковская сфера. Информационные технологии, системная интеграция, интернет ... Системная интеграция, автоматизации технологических и бизнес-процессов предприятия, ИТ-консалтинг Руководитель ИТ-отдела Осуществлял трудовую деятельность, в том числе на руководящих должностях, по своему профильному направлению - Информационные технологии (ИТ) на предприятиях оборонно-промышленного комплекса, нефтедобывающих компаниях и банковской сфере.  Июнь 2015 — по настоящее время 3 года 11 месяцев СИБИНТЕК, ООО ИК Москва , sibintek.ru Информационные технологии, системная интеграция, интернет ... Разработка программного обеспечения Системная интеграция, автоматизации технологических и бизнес-процессов предприятия, ИТ-консалтинг Менеджер (Руководитель ИТ-проектов) Управление ИТ-проектами в ПАО «НК «РОСНЕФТЬ» и Обществах Группы Компании на всех этапах их реализации, в том числе, отвечаю за планирование сроков и бюджета проекта, содержание работ, а также организацию и контроль выполнения поставленных проектной команде задач, включая контроль над работами субподрядных организаций. Осуществляю планирование и обеспечение коммуникаций между заинтересованными сторонами проекта на всём протяжении его жизненного цикла. Выполняю подготовку документации по управлению проектами и при закрытии этапов работ по Договору. Имею опыт создания, внедрения и развития: информационных систем бизнес-блока РиД (Разведка и Добыча); систем в области информационной безопасности и ИТ-инфраструктуры; ИР КИС на базе SAP R/3. Принимал участие в организации новых услуг в области информационных технологий в ПАО «НК «РОСНЕФТЬ». На сегодняшний день успешно завершил 14 ИТ-проектов (из них 4 крупных), включающих как внедрение новых и интеграцию существующих информационных систем между собой, так и тиражирование разработанного функционала в Обществах Группы ПАО «НК «РОСНЕФТЬ». За реализацию проектов имею благодарственные письма. Примечание: в связи с тем, что ООО ИК «СИБИНТЕК» является внутренним ИТ-интегратором ПАО «НК «РОСНЕФТЬ», данное резюме не содержит стоимостных и количественных параметров реализованных проектов во исполнение требований соблюдения конфиденциальности.  Май 2013 — Март  2015 1 год 11 месяцев МКУ «МФЦ» Мегион , mfchmao.ru Государственные организации ... Государственные организации Заместитель директора Руководил работой по созданию, внедрению и развитию информационно-технической базы учреждения, включающую в себя: информационные системы, ИТ-инфраструктуру, связь, информационную безопасность, в том числе, обеспечение безопасности обработки персональных данных. Возглавлял административно-хозяйственную деятельность учреждения. Руководил работой Контрактной службы.  Июнь 1996 — Май  2013 17 лет Отечественные предприятия и банковская сфера. Информационные технологии, системная интеграция, интернет ... Системная интеграция, автоматизации технологических и бизнес-процессов предприятия, ИТ-консалтинг Руководитель ИТ-отдела Осуществлял трудовую деятельность, в том числе на руководящих должностях, по своему профильному направлению - Информационные технологии (ИТ) на предприятиях оборонно-промышленного комплекса, нефтедобывающих компаниях и банковской сфере.";СИБИНТЕК, ООО ИК;Менеджер (Руководитель ИТ-проектов);Высшее образование 2008 ФГОУ ВПО «Уральская академия государственной службы»  (сейчас РАНХиГС при Президенте РФ) Факультет экономики и менеджмента, Менеджмент организации (диплом с отличием) 1996 Казанский государственный технический университет им. А.Н. Туполева (ранее КАИ, сейчас КНИТУ-КАИ) Факультет технической кибернетики и информатики, Вычислительные машины, комплексы, системы и сети (дневное отделение);25.04.2019 22:48;Не указано
Мужчина ,  29 лет , родился 9 июля 1989;70000 руб.;Инженер АСУ ТП;Москва ,  м. Бульвар Рокоссовского , готов к переезду , готов к командировкам;полная занятость;полный день;"Опыт работы 3 года 11 месяцев  Декабрь 2016 — Апрель  2017 5 месяцев ФМ-инжиниринг Москва Инженер АСУ ТП Установка , обслуживание систем автоматики , КИП , пожарных систем , ежедневная работа с чертежами , схемами . Эксплуатация систем автоматизации  объекта , разработка   и решение  вопросов  в сфере  КИП и А . закупка оборудования , необходимых деталей ,  осмотр и ремонт  систем видео наблюдения . Решение вопросов энергоснабжения  Сентябрь 2014 — Июнь  2016 1 год 10 месяцев Вега-ГАЗ, ООО Москва , vega-gaz.ru Информационные технологии, системная интеграция, интернет ... Системная интеграция, автоматизации технологических и бизнес-процессов предприятия, ИТ-консалтинг Инженер АСУ ТП Внедрение в производство и сдача SCADA систем Пуско-наладочные работы автоматической системы Самостоятельная разработка‚ внедрение и сдача SCADA проектов с использованием: • GE Fanuc Proficy Machine Edition - низший уровень • GE Fanuc ПЛК Series 90-30‚ 90-70, Rx3i‚ Rx7i, Versamax • GE Fanuc CIMPLICITY® HMI – высший уровень • Wonderware Galaxy IAS – высший уровень • Modbus‚ Profibus‚ TCP/IP • Panel Weintek MT8070iE. ПО EasyBuilder 8000 Пуско-наладка: • Система РИУС на объектах ""Газпромтрансгаз"" Система КВАНТ  Ноябрь 2013 — Май  2014 7 месяцев Севзапмонтажавтоматика Минск Монтажник слаботочных систем Установка , обслуживание систем автоматики , КИП , пожарных систем , ежедневная работа с чертежами , схемами . совместная работа с пусконаладчиками . замена и отладка систем , датчиков.  Сентябрь 2012 — Сентябрь  2013 1 год 1 месяц Стройгазконсалтинг Воркута , www.sgc.ru Строительство, недвижимость, эксплуатация, проектирование ... Строительство дорожное и инфраструктурное Строительство объектов нефтегазовой отрасли монтажник КИП и А Установка , обслуживание систем автоматики , КИП , пожарных систем , ежедневная работа с чертежами , схемами . совместная работа с пусконаладчиками . замена и отладка систем , датчиков.";ФМ-инжиниринг;Инженер АСУ ТП;Высшее образование 2014 Белорусская Государственная Академия Авиации  БГАА, Минск техническая эксплуатация авиационного ( радиоэлектронного ) оборудования 2010 Белорусская Государственная Академия Авиации  БГАА, Минск техническая эксплуатация авиационного ( радиоэлектронного ) оборудования;07.05.2019 17:59;Не указано
